stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,300.00000000,0.00117479,105,96,48,2159,2159,delta
1,285.00000000,0.00229838,102,97,46,2132,2323,delta
2,270.75000000,0.00343942,101,97,47,2132,2195,delta
3,257.21250000,0.00459158,108,99,47,2070,2158,delta
4,244.35187500,0.00574942,108,98,47,2070,2300,delta
5,232.13428125,0.00692121,101,97,47,2070,2103,delta
6,220.52756719,0.00816304,101,96,46,2070,2181,delta
7,209.50118883,0.00957663,106,94,52,2070,2295,delta
8,199.02612939,0.01109617,100,94,34,2038,2038,delta
9,189.07482292,0.01282458,106,94,47,1984,2219,delta
10,179.62108177,0.01469579,104,93,45,1984,2129,delta
11,170.64002768,0.01671158,103,95,41,1984,2134,delta
12,162.10802630,0.01893717,104,94,47,1938,2159,delta
13,154.00262498,0.02132012,103,93,40,1932,2037,delta
14,146.30249373,0.02390346,102,92,47,1932,2300,delta
15,138.98736905,0.02665508,104,92,43,1932,2104,delta
16,132.03800060,0.02959279,104,87,46,1932,2154,delta
17,125.43610057,0.03278271,101,95,45,1932,2058,delta
18,119.16429554,0.03645738,103,89,46,1932,2181,delta
19,113.20608076,0.04052979,100,90,42,1932,2302,delta
20,107.54577672,0.04447504,103,89,37,1932,2190,delta
21,102.16848789,0.04851075,104,87,41,1932,2179,delta
22,97.06006349,0.05258804,100,95,47,1932,2162,delta
23,92.20706032,0.05719083,106,98,42,1932,1989,delta
