stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,500.00000000,0.00176662,103,98,49,2098,2326,delta
1,490.00000000,0.00343888,106,98,45,2098,2255,delta
2,480.20000000,0.00510504,105,100,43,2098,2243,delta
3,470.59600000,0.00704737,104,100,43,2098,2202,delta
4,461.18408000,0.00865288,107,98,51,2045,2227,delta
5,451.96039840,0.01040579,102,99,49,2045,2320,delta
6,442.92119043,0.01240975,106,98,47,2045,2114,delta
7,434.06276662,0.01489146,104,100,47,2039,2158,delta
8,425.38151129,0.01777804,101,97,48,2039,2355,delta
9,416.87388107,0.02059954,105,95,43,2039,2216,delta
10,408.53640344,0.02354908,110,99,46,1975,2151,delta
11,400.36567537,0.02659154,106,97,51,1975,2180,delta
12,392.35836187,0.02991563,103,97,47,1975,2224,delta
13,384.51119463,0.03349875,106,96,45,1921,2034,delta
14,376.82097074,0.03793362,105,99,50,1921,2259,delta
15,369.28455132,0.04202537,105,99,52,1921,2270,delta
16,361.89886030,0.04644454,105,99,49,1921,2310,delta
17,354.66088309,0.05103642,102,99,47,1921,2172,delta
18,347.56766543,0.05635817,108,98,52,1921,2180,delta
19,340.61631212,0.06207829,107,100,45,1921,2071,delta
20,333.80398588,0.06785575,104,100,50,1921,2208,delta
21,327.12790616,0.07352188,104,99,50,1921,2233,delta
22,320.58534804,0.07947467,105,97,46,1921,2197,delta
23,314.17364108,0.08568617,101,97,46,1921,2127,delta
